Sector;Empresa;Simbolo;Fecha;Apertura;MaximoDiario;MinimoDiario;Volumen;Cierre
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;15/08/2023;1028;1090;1025,15;273411;1025,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/08/2023;950;1141,5;950;180001;1062,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;11/08/2023;1077,65;1079,65;1007;312954;1050,65
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/08/2023;1020;1050;1012;174356;1007,85
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;09/08/2023;1020;1045;1018;100006;1018,75
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;08/08/2023;983,25;1035;983,25;132239;986,75
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;07/08/2023;995,5;999,5;978,3;76887;995,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;04/08/2023;980;1004,75;980;87572;960,35
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/08/2023;975,8;998;950;132028;975,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;02/08/2023;1000;1000;967;92271;990,522
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;01/08/2023;1030;1050;997,35;153281;1038,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;31/07/2023;1025;1074;1025;107623;1048,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/07/2023;1031;1060;1031;194931;1012,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/07/2023;1087;1094,95;1011;215383;1099,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;26/07/2023;1102,55;1109,6;1084;148006;1084,75
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;25/07/2023;1063;1089,9;1045;241493;1067,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;24/07/2023;1100;1125;1042;235556;1098,65
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/07/2023;1083;1100;1060;271415;1077,25
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/07/2023;1035;1080;1035;161348;1072,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;19/07/2023;1077,9;1077,9;1036;121667;1068,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;18/07/2023;1075;1090;1051;82624;1069,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;17/07/2023;1080;1090;1042;101077;1038,099
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/07/2023;1047;1062;1002;69919;1047,165
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;13/07/2023;1039;1076,9;1031;183408;1020,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;12/07/2023;1022;1039,15;1009,45;152181;1017,6
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;11/07/2023;996,9;1019;989;72370;1012,25
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/07/2023;1010;1022,95;985;59794;1019,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;07/07/2023;1018,5;1024;985;93553;989,75
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;06/07/2023;1034;1043,45;980,25;217309;1059,85
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;05/07/2023;1080;1080;1035;382548;1079,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;04/07/2023;1100;1100;1047,25;88298;1064,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/07/2023;1035;1070;1000;105693;1020,65
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;30/06/2023;1000;1030;979;89877;979,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;29/06/2023;1029;1029;952;594106;999,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/06/2023;1060;1076,7;995;131733;1026,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/06/2023;1045;1076,35;1020;115890;1076,35
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;26/06/2023;1058;1100;1015;191594;1010,6
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;23/06/2023;999;1038;992;134818;1001,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;22/06/2023;1040;1059,5;979,75;210764;1055,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/06/2023;1014,05;1068;1000;289073;983,13
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/06/2023;945;1009;925;332652;953
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;19/06/2023;945;1009;925;332652;953
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;16/06/2023;945;1009;925;332652;953
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;15/06/2023;923;979,7;923;197298;922,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/06/2023;917;942;903;99456;913,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;13/06/2023;904,5;929;894,55;223621;902,25
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;12/06/2023;902;919,85;883,25;149721;901,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;09/06/2023;884;914,5;882;89253;883,75
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;08/06/2023;912;924;876,25;257647;904,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;07/06/2023;884;920;870;299510;872,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;06/06/2023;793;868,75;793;365918;778,25
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;05/06/2023;753,5;779;743,7;62365;753,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;02/06/2023;760;780;750;81085;756,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;01/06/2023;710;762;710;151538;724,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;31/05/2023;750;750;710;130035;738,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;30/05/2023;729,8;738,5;718;67785;729,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;29/05/2023;725;735;705,5;24811;730,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;26/05/2023;714,5;732,6;689,15;161681;721,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;25/05/2023;714,5;732,6;689,15;161681;721,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;24/05/2023;714,5;732,6;689,15;161681;721,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;23/05/2023;700;738;700;83072;705,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;22/05/2023;720;729;699;131513;712,65
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;19/05/2023;711;720;694;106494;711,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;18/05/2023;713,6;721,9;695;75960;717,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;17/05/2023;703;727,5;699;76872;691,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;16/05/2023;730;738;700,55;93846;726,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;15/05/2023;700,3;727,4;682,2;103441;707,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;12/05/2023;681,85;730;681,05;244372;685,4
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;11/05/2023;670;697;644,75;108235;661,6
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/05/2023;650,65;665;646,95;107686;650,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;09/05/2023;652,5;655;637,5;65428;646,85
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;08/05/2023;630;654,5;628;253560;625,75
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;05/05/2023;596;637,7;596;186180;590,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;04/05/2023;603;607,5;571,6;302705;602,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/05/2023;636,5;642,1;606;177717;635,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;02/05/2023;646,95;646,95;610;126409;650,25
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;01/05/2023;651,5;651,5;635;116474;652,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/04/2023;651,5;651,5;635;116474;652,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/04/2023;672,5;688;645,5;128854;684,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;26/04/2023;698;698;663,05;68478;683,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;25/04/2023;669;694;669;194349;684,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;24/04/2023;679;689;668;153305;672
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/04/2023;668;684,9;658,05;137735;666,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/04/2023;647,1;681;641,55;147345;647,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;19/04/2023;688,6;688,6;645;205260;688,85
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;18/04/2023;696,3;713,6;685,5;237458;681,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;17/04/2023;653,1;703;653,1;492176;664,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/04/2023;636;666,8;635;286874;631,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;13/04/2023;621,5;639;610,05;240405;619,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;12/04/2023;608;622;600;94516;600,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;11/04/2023;572,75;601,35;571,05;237479;563,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/04/2023;550;564,9;547;161754;549,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;06/04/2023;551;552,1;541,2;165049;550,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;05/04/2023;551;552,1;541,2;165049;550,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;04/04/2023;551,35;557;534,45;259487;554
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/04/2023;541;559;533,5;143326;537,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;31/03/2023;574,95;574,95;532,5;152935;564,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;30/03/2023;566,95;570,2;551,25;217086;561,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;29/03/2023;544,6;567,4;542;230525;546,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/03/2023;540,25;551;530,25;209074;539
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/03/2023;510;542,5;506;202718;503,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;24/03/2023;540;543,4;499;348169;535,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;23/03/2023;540;543,4;499;348169;535,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;22/03/2023;536,95;546,1;518;140926;539,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/03/2023;528,85;547;526;198550;510,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/03/2023;520,6;535;510;151229;521,049
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;17/03/2023;540,4;540,4;517;127075;548,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;16/03/2023;516;554,1;507,9;137779;513,799
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;15/03/2023;545;545;512;508059;561,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/03/2023;580,9;597,85;555,25;114416;573,65
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;13/03/2023;590;600;568;164207;597,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/03/2023;630;633;595;131243;633,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;09/03/2023;653,5;673,65;627;87694;651,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;08/03/2023;614;654;607,5;152014;612,35
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;07/03/2023;640;643,5;600;114902;630,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;06/03/2023;605;632;601;205319;612,6
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/03/2023;603;636;595;72376;605
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;02/03/2023;635;636;604;193663;633,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;01/03/2023;626;636;613;155208;626,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/02/2023;624,5;631,5;615;132578;624,6
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/02/2023;611;629,5;610;172279;611,85
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;24/02/2023;595;612;585;463717;584,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;23/02/2023;575;586;570;310310;565,35
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;22/02/2023;565;591;558;57976;566,4
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/02/2023;592;597;549;189689;593,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/02/2023;592;597;549;189689;593,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;17/02/2023;592;597;549;187383;593,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;16/02/2023;588,9;598,5;563;142640;573,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;15/02/2023;585;595;560;49833;585
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/02/2023;569,95;589,5;558;247468;569,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;13/02/2023;550;570;530;143314;539,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/02/2023;535;545;529,5;86976;535,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;09/02/2023;540;545;531,65;107180;537
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;08/02/2023;539,5;540;520;68180;529,4
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;07/02/2023;535;553,5;526,55;118771;531,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;06/02/2023;519;530;495;139943;518,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/02/2023;546;549,4;521;119541;545,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;02/02/2023;557;570;537,1;153521;549,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;01/02/2023;583,3;583,3;540;157919;569,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;31/01/2023;547;577,75;540;94580;547,75
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;30/01/2023;569;575;542,65;92433;569
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/01/2023;589;594;567;100410;587,6
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;26/01/2023;589;595;576,5;222627;585,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;25/01/2023;562;590,95;545,5;222060;561,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;24/01/2023;565,35;573;550,5;347722;565,35
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;23/01/2023;576;600;560;110063;572,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/01/2023;540;579;540;179552;542,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;19/01/2023;535;542;497;596203;529,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;18/01/2023;600;609;522,5;599983;592
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;17/01/2023;572;592;553;238748;572,4
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;16/01/2023;555;581;549;98995;550,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;13/01/2023;529;556;515;237379;528,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;12/01/2023;505,5;540,5;500;239047;505,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;11/01/2023;470;513,5;462;234197;465,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/01/2023;472;478;460,2;136789;471,35
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;09/01/2023;477;490;459,5;160019;473
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;06/01/2023;479,5;489,55;467;299972;463,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;05/01/2023;443;466,7;438;536188;440,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;04/01/2023;431;443,5;420;333941;430,05
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/01/2023;464;467;431,4;221961;467,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;02/01/2023;455,2;477;451,5;52408;455,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;30/12/2022;438;455;424;64008;440,85
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;29/12/2022;450;454,8;436;203293;441,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/12/2022;420;451,5;418;235414;417,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/12/2022;412;417,95;400;146778;409,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;26/12/2022;392;412;392;57833;399,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;23/12/2022;391,5;410,75;388,2;229928;391,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;22/12/2022;388;390;379;162330;383,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/12/2022;347;392,75;347;495388;342,25
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/12/2022;338,5;347,1;338;7014;338,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;19/12/2022;326;337;325;65336;326
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;16/12/2022;325,7;329,95;323;68503;325,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;15/12/2022;320;323,5;314,5;42889;321
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/12/2022;324;325;313,5;135950;322,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;13/12/2022;338;338;321,95;192972;328,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;12/12/2022;331,5;337,9;323,15;296683;344
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;09/12/2022;330;346;328;210408;330
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;08/12/2022;330;346;328;210408;330
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;07/12/2022;330;346;328;209571;330
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;06/12/2022;323,2;333;323,2;31084;326,25
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;05/12/2022;346,5;349,9;325;195107;338,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;02/12/2022;350,5;350,5;335;81111;350,209
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;01/12/2022;358;358;342;167821;350,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;30/11/2022;346;351;340,5;126236;346,65
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;29/11/2022;350;359,5;340,55;102075;353
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/11/2022;343,5;353;338;339802;343,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;25/11/2022;320;349,5;320;439186;327,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;24/11/2022;324,95;329,3;320;67239;322,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;23/11/2022;305,2;322,95;300;596234;303,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;22/11/2022;300;303,95;290;90091;299
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/11/2022;297,5;305;296,4;175559;297,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;18/11/2022;297,5;305;296,4;175556;297,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;17/11/2022;291;297,9;285;174587;290
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;16/11/2022;292;296,5;287,9;190048;291,4
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;15/11/2022;294,1;298;291;328701;292,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/11/2022;297;298;287,25;236704;293,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;11/11/2022;293,5;298;288,5;66949;290,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/11/2022;310;310;289,15;129735;296,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;09/11/2022;310;317,45;292,7;296877;309,35
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;08/11/2022;310;322,9;300;38936;309,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;07/11/2022;318;328;308;55005;318,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;04/11/2022;315;322;315;68030;315,3
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/11/2022;320;323;312,5;181077;314,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;02/11/2022;324,7;327,5;311,5;60683;322,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;01/11/2022;311,55;326;309,3;281269;311,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;31/10/2022;310,4;320;309;181092;304,359
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/10/2022;316;316;302;157022;313,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/10/2022;305;315,55;305;184135;307,2
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;26/10/2022;314,2;315;305,85;154118;314,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;25/10/2022;304,3;314,15;303,4;233455;306,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;24/10/2022;310;310;300;59221;310,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/10/2022;306,5;311,3;301,5;143911;300,15
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/10/2022;308,9;308,9;298,55;32498;300,85
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;19/10/2022;299,3;307;296,25;60123;303,4
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;18/10/2022;312;319;299;203773;310,25
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;17/10/2022;303;315;303;101027;305,85
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;14/10/2022;315;316,95;303,5;30753;312,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;13/10/2022;299;315,95;299;175955;299,1
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;12/10/2022;300;309;298,9;128080;304,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;11/10/2022;319;328;303,8;249747;328,4
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;10/10/2022;331;332;325,5;35137;331,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;07/10/2022;331;332;325,5;35137;331,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;06/10/2022;331;332;325,5;35137;331,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;05/10/2022;325;334,9;320;80406;328
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;04/10/2022;325,5;332;325,5;79754;325,8
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;03/10/2022;324,5;326,5;315;68234;314,059
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;30/09/2022;319;324,95;311,5;50894;311,6
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;29/09/2022;312;315;301,05;405742;313,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;28/09/2022;304,5;315;303,5;296782;304,95
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;27/09/2022;308;315,5;304;146463;307,5
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;26/09/2022;319,9;319,9;299,5;669948;319,9
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;23/09/2022;328;329,5;316,5;878097;345,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;22/09/2022;342;347;330,95;280088;341
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;21/09/2022;345,5;346,9;333,75;420198;344,55
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;20/09/2022;340;346;330;635504;339,45
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;19/09/2022;319,5;342;316;201958;316,7
BANCOS;BANCO BBVA ARGENTINA SA;BBAR;16/09/2022;309,5;316,7;307;49216;311,3
